"PROBEID","drug","logFC","adjP","direction","gene_id"
"201262_s_at","Vorinostat",0.191299660092443,0.0455037840727495,"Up","BGN"
"201263_at","Vorinostat",0.24753848623352,0.00118016449740954,"Up","TARS1"
"201264_at","Vorinostat",0.138823010292162,0.0379265362451506,"Up","COPE"
"201265_at","Vorinostat",-0.144640071317347,0.000212735666526891,"Down",NA
"201267_s_at","Vorinostat",-0.270100152243688,0.000970078187629086,"Down","PSMC3"
"201271_s_at","Vorinostat",0.175276509465897,0.00335527518565577,"Up","RALY"
"201272_at","Vorinostat",0.351176050219107,0.00123992470152419,"Up","AKR1B1"
"201273_s_at","Vorinostat",-0.156332927304004,0.00805321437950542,"Down","SRP9"
"201274_at","Vorinostat",0.395471955387806,8.37640546879519e-10,"Up","PSMA5"
"201275_at","Vorinostat",-0.484579955378574,7.5502647285191e-10,"Down","FDPS"
"201276_at","Vorinostat",0.226267617154323,0.000248639169280772,"Up","RAB5B"
"201277_s_at","Vorinostat",-0.403967479504918,9.87088782183235e-09,"Down","HNRNPAB"
"201279_s_at","Vorinostat",0.338124417613462,0.00281752500210661,"Up","DAB2"
"201282_at","Vorinostat",-0.215277803641109,0.00265575079859721,"Down","OGDH"
"201283_s_at","Vorinostat",-0.217456415076195,2.19839653979384e-05,"Down","TRAK1"
"201284_s_at","Vorinostat",0.286435566738266,9.21604545380692e-09,"Up","APEH"
"201285_at","Vorinostat",0.164491403943918,0.00871249204543604,"Up","MKRN1"
"201286_at","Vorinostat",-0.478885476095225,0.0094124272494151,"Down","SDC1"
"201287_s_at","Vorinostat",-0.569797517956277,0.00217484121454083,"Down","SDC1"
"201288_at","Vorinostat",-0.472898459137545,1.94863319320576e-05,"Down","ARHGDIB"
"201289_at","Vorinostat",0.446689905741084,0.000154294659463416,"Up","CCN1"
"201291_s_at","Vorinostat",-0.538265570115646,1.41458671073744e-06,"Down","TOP2A"
"201296_s_at","Vorinostat",-0.230383031271926,0.00718134485177948,"Down","WSB1"
"201297_s_at","Vorinostat",-0.192833863800023,0.00324592832182862,"Down","MOB1A"
"201298_s_at","Vorinostat",-0.173115892913195,0.0138353100762401,"Down","MOB1A"
"201299_s_at","Vorinostat",-0.159790201304177,0.037831239446141,"Down","MOB1A"
"201300_s_at","Vorinostat",0.286899147499969,0.00639277442206143,"Up","PRNP"
"201303_at","Vorinostat",0.76477664162225,3.93391090030263e-11,"Up","EIF4A3"
"201304_at","Vorinostat",0.232160369957779,0.000598317538321591,"Up","NDUFA5"
"201305_x_at","Vorinostat",-0.723303497542744,1.67992200561813e-11,"Down","ANP32B"
"201306_s_at","Vorinostat",-0.81915573624583,2.04229181392287e-25,"Down","ANP32B"
"201307_at","Vorinostat",-0.397668214612132,5.32542612519219e-05,"Down","SEPTIN11"
"201309_x_at","Vorinostat",-0.940432880082227,1.67812164025317e-12,"Down","NREP"
"201310_s_at","Vorinostat",-1.10693700180178,1.92884042499435e-15,"Down","NREP"
"201311_s_at","Vorinostat",-0.388279746488755,0.00371037696765779,"Down","SH3BGRL"
"201314_at","Vorinostat",-0.172965720582171,0.0349667107581789,"Down","STK25"
"201317_s_at","Vorinostat",0.213675898560112,0.000167701347102608,"Up","PSMA2"
"201318_s_at","Vorinostat",0.469177857756127,7.5307519753889e-12,"Up","MYL12A"
"201319_at","Vorinostat",0.339327753726658,1.22662820819844e-08,"Up","MYL12A"
"201322_at","Vorinostat",0.224821797251013,0.000405982175978256,"Up","ATP5F1B"
"201323_at","Vorinostat",0.249332220031327,0.000888394107357227,"Up","EBNA1BP2"
"201326_at","Vorinostat",-0.232070029842501,0.00262861961529875,"Down","CCT6A"
